"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","georeference"
"2021-12-24T17:00:00.000","subway","328","WTC Cortlandt (1)","Manhattan","metrocard","Metrocard - Fair Fare","4.0","0.0","40.711834","-74.01219","POINT (-74.01219 40.711834)"
"2021-12-24T18:00:00.000","subway","254","Jamaica-179 St (F)","Queens","omny","OMNY - Full Fare","24.0","6.0","40.712646","-73.78381","POINT (-73.78381 40.712646)"
"2021-12-24T23:00:00.000","subway","222","Roosevelt Island (F)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","4.0","0.0","40.759144","-73.95326","POINT (-73.95326 40.759144)"
"2021-12-24T04:00:00.000","subway","253","Neptune Av (F)","Brooklyn","metrocard","Metrocard - Other","1.0","0.0","40.581013","-73.97457","POINT (-73.97457 40.581013)"
"2021-12-24T20:00:00.000","subway","108","Middle Village-Metropolitan Av (M)","Queens","metrocard","Metrocard - Other","3.0","0.0","40.711395","-73.8896","POINT (-73.8896 40.711395)"
"2021-12-24T15:00:00.000","subway","256","Parsons Blvd (F)","Queens","metrocard","Metrocard - Fair Fare","4.0","1.0","40.707565","-73.80333","POINT (-73.80333 40.707565)"
"2021-12-24T18:00:00.000","subway","217","170 St (B,D)","Bronx","metrocard","Metrocard - Full Fare","18.0","1.0","40.839306","-73.9134","POINT (-73.9134 40.839306)"
"2021-12-24T22:00:00.000","subway","333","Wall St (2,3)","Manhattan","metrocard","Metrocard - Fair Fare","3.0","0.0","40.70682","-74.0091","POINT (-74.0091 40.70682)"
"2021-12-24T17:00:00.000","subway","110","Forest Av (M)","Queens","metrocard","Metrocard - Unlimited 30-Day","7.0","0.0","40.704422","-73.903076","POINT (-73.903076 40.704422)"
"2021-12-24T06:00:00.000","subway","353","President St-Medgar Evers College (2,5)","Brooklyn","metrocard","Metrocard - Other","4.0","0.0","40.667885","-73.95068","POINT (-73.95068 40.667885)"
"2021-12-24T07:00:00.000","subway","215","Tremont Av (B,D)","Bronx","metrocard","Metrocard - Students","11.0","2.0","40.85041","-73.90523","POINT (-73.90523 40.85041)"
"2021-12-24T11:00:00.000","subway","477","72 St (Q)","Manhattan","omny","OMNY - Full Fare","140.0","1.0","40.7688","-73.95843","POINT (-73.95843 40.7688)"
"2021-12-24T01:00:00.000","subway","164","34 St-Penn Station (A,C,E)","Manhattan","metrocard","Metrocard - Seniors & Disability","2.0","0.0","40.75229","-73.99339","POINT (-73.99339 40.75229)"
"2021-12-24T18:00:00.000","subway","45","Beverley Rd (Q)","Brooklyn","metrocard","Metrocard - Seniors & Disability","2.0","0.0","40.64403","-73.96449","POINT (-73.96449 40.64403)"
"2021-12-24T06:00:00.000","subway","218","167 St (B,D)","Bronx","metrocard","Metrocard - Fair Fare","14.0","2.0","40.83377","-73.91844","POINT (-73.91844 40.83377)"
"2021-12-24T22:00:00.000","subway","311","86 St (1)","Manhattan","omny","OMNY - Full Fare","37.0","0.0","40.788643","-73.97622","POINT (-73.97622 40.788643)"
"2021-12-24T17:00:00.000","subway","224","57 St (F)","Manhattan","metrocard","Metrocard - Students","7.0","0.0","40.763973","-73.97745","POINT (-73.97745 40.763973)"
"2021-12-24T13:00:00.000","subway","376","Brook Av (6)","Bronx","metrocard","Metrocard - Other","5.0","0.0","40.807568","-73.91924","POINT (-73.91924 40.807568)"
"2021-12-24T07:00:00.000","subway","220","155 St (B,D)","Manhattan","metrocard","Metrocard - Unlimited 7-Day","21.0","0.0","40.830135","-73.93821","POINT (-73.93821 40.830135)"
"2021-12-24T16:00:00.000","subway","48","Avenue H (Q)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","4.0","0.0","40.62927","-73.96164","POINT (-73.96164 40.62927)"
"2021-12-24T07:00:00.000","subway","337","Nevins St (2,3,4,5)","Brooklyn","metrocard","Metrocard - Fair Fare","2.0","0.0","40.688248","-73.98049","POINT (-73.98049 40.688248)"
"2021-12-24T17:00:00.000","subway","107","Broad St (J,Z)","Manhattan","metrocard","Metrocard - Other","4.0","0.0","40.706474","-74.011055","POINT (-74.011055 40.706474)"
"2021-12-24T19:00:00.000","subway","352","New Lots Av (3)","Brooklyn","metrocard","Metrocard - Seniors & Disability","3.0","0.0","40.666237","-73.88408","POINT (-73.88408 40.666237)"
"2021-12-24T11:00:00.000","staten_island_railway","501","St George (SIR)","Staten Island","metrocard","Metrocard - Seniors & Disability","10.0","4.0","40.64375","-74.07365","POINT (-74.07365 40.64375)"
"2021-12-24T16:00:00.000","subway","252","Avenue X (F)","Brooklyn","omny","OMNY - Full Fare","12.0","1.0","40.58962","-73.97425","POINT (-73.97425 40.58962)"
"2021-12-24T06:00:00.000","subway","434","3 Av-149 St (2,5)","Bronx","metrocard","Metrocard - Seniors & Disability","7.0","2.0","40.81611","-73.917755","POINT (-73.917755 40.81611)"
"2021-12-24T19:00:00.000","subway","255","169 St (F)","Queens","metrocard","Metrocard - Students","5.0","0.0","40.71047","-73.7936","POINT (-73.7936 40.71047)"
"2021-12-24T23:00:00.000","subway","278","Jamaica Center-Parsons/Archer (E,J,Z)","Queens","metrocard","Metrocard - Other","9.0","2.0","40.70215","-73.80111","POINT (-73.80111 40.70215)"
"2021-12-24T17:00:00.000","subway","159","81 St-Museum of Natural History (C,B)","Manhattan","metrocard","Metrocard - Fair Fare","9.0","0.0","40.781433","-73.972145","POINT (-73.972145 40.781433)"
"2021-12-24T06:00:00.000","subway","254","Jamaica-179 St (F)","Queens","metrocard","Metrocard - Unlimited 7-Day","89.0","0.0","40.712646","-73.78381","POINT (-73.78381 40.712646)"
"2021-12-24T03:00:00.000","subway","359","Flatbush Av-Brooklyn College (2,5)","Brooklyn","omny","OMNY - Full Fare","3.0","0.0","40.632835","-73.94764","POINT (-73.94764 40.632835)"
"2021-12-24T09:00:00.000","subway","244","Ditmas Av (F)","Brooklyn","metrocard","Metrocard - Fair Fare","2.0","0.0","40.63612","-73.97817","POINT (-73.97817 40.63612)"
"2021-12-24T19:00:00.000","subway","213","Fordham Rd (B,D)","Bronx","metrocard","Metrocard - Seniors & Disability","2.0","1.0","40.861298","-73.89775","POINT (-73.89775 40.861298)"
